"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"대화동001",1,대전광역시 대덕구 대화15길 4,,36.36300916,127.41762740,,,042-120,대전광역시,2022-12-15
"대화동004",1,대전광역시 대덕구 대화1길 77,,36.36391396,127.41658930,,,042-120,대전광역시,2022-12-15
"대화동006",1,대전광역시 대덕구 대화5길 2,,36.36373844,127.41627190,,,042-120,대전광역시,2022-12-15
"대화동007",1,대전광역시 대덕구 대화5길 10,,36.36378296,127.41590670,,,042-120,대전광역시,2022-12-15
"대화동008",1,대전광역시 대덕구 대오길 58,,36.36354209,127.41572270,,,042-120,대전광역시,2022-12-15
"대화동009",1,대전광역시 대덕구 대화1길 96,,36.36394429,127.41616160,,,042-120,대전광역시,2022-12-15
"대화동011",1,대전광역시 대덕구 대화1길 90,,36.36401995,127.41617090,,,042-120,대전광역시,2022-12-15
"대화동012",1,대전광역시 대덕구 대오길 27,,36.36310281,127.41558220,,,042-120,대전광역시,2022-12-15
"대화동013",1,대전광역시 대덕구 대화10길 19,,36.36422274,127.41590460,,,042-120,대전광역시,2022-12-15
"대화동016",1,대전광역시 대덕구 대오길 64,,36.36383465,127.41555490,,,042-120,대전광역시,2022-12-15
"대화동018",1,대전광역시 대덕구 대오길 60,,36.36365784,127.41560740,,,042-120,대전광역시,2022-12-15
"대화동019",1,대전광역시 대덕구 대화10길 10,,36.36352186,127.41532150,,,042-120,대전광역시,2022-12-15
"대화동020",1,대전광역시 대덕구 대오길 54,,36.36336873,127.41581980,,,042-120,대전광역시,2022-12-15
"대화동021",1,대전광역시 대덕구 동심1길 30,,36.36285658,127.41590180,,,042-120,대전광역시,2022-12-15
"대화동023",1,대전광역시 대덕구 동심2길 5,,36.36323318,127.41540910,,,042-120,대전광역시,2022-12-15
"대화동024",1,대전광역시 대덕구 동심2길 16,,36.36342435,127.41537440,,,042-120,대전광역시,2022-12-15
"대화동025",1,대전광역시 대덕구 대오길 41,,36.36383968,127.41514490,,,042-120,대전광역시,2022-12-15
"대화동026",1,대전광역시 대덕구 동심2길 15,,36.36346513,127.41504930,,,042-120,대전광역시,2022-12-15
"대화동027",1,대전광역시 대덕구 동심1길 52,,36.36334022,127.41468760,,,042-120,대전광역시,2022-12-15
