"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"세종특별자치시 금남면 감성리 64-2",1,,세종특별자치시 금남면 감성리 64-2,36.443467,,,한전주,044-301-3733,세종특별자치시청,2021-10-15
"세종특별자치시 금남면 감성리 267",1,,세종특별자치시 금남면 감성리 267,36.444181,127.288812,,한전주,044-301-3733,세종특별자치시청,2021-10-15
"세종특별자치시 금남면 감성리 40-1",1,,세종특별자치시 금남면 감성리 40-1,36.444711,127.289575,,한전주,044-301-3733,세종특별자치시청,2021-10-15
"세종특별자치시 금남면 감성리 26",1,,세종특별자치시 금남면 감성리 26,36.444455,127.290071,,한전주,044-301-3733,세종특별자치시청,2021-10-15
"세종특별자치시 금남면 감성리 267",1,,세종특별자치시 금남면 감성리 267,36.444188,127.290002,,한전주,044-301-3733,세종특별자치시청,2021-10-15
"세종특별자치시 금남면 감성리 41-3",1,,세종특별자치시 금남면 감성리 41-3,36.443689,127.289666,,한전주,044-301-3733,세종특별자치시청,2021-10-15
"세종특별자치시 금남면 감성리 267",1,,세종특별자치시 금남면 감성리 267,36.443387,127.289971,,한전주,044-301-3733,세종특별자치시청,2021-10-15
"세종특별자치시 금남면 감성리 267",1,,세종특별자치시 금남면 감성리 267,36.442853,127.290177,,한전주,044-301-3733,세종특별자치시청,2021-10-15
"세종특별자치시 금남면 감성리 267",1,,세종특별자치시 금남면 감성리 267,36.442395,127.290399,,한전주,044-301-3733,세종특별자치시청,2021-10-15
"세종특별자치시 금남면 감성리 11",1,,세종특별자치시 금남면 감성리 11,36.442209,127.290963,,,044-301-3733,세종특별자치시청,2021-10-15
"세종특별자치시 금남면 감성리 10-1",1,,세종특별자치시 금남면 감성리 10-1,36.442518,127.291307,,한전주,044-301-3733,세종특별자치시청,2021-10-15
"세종특별자치시 금남면 감성리 5-2",1,,세종특별자치시 금남면 감성리 5-2,36.442949,127.291566,,한전주,044-301-3733,세종특별자치시청,2021-10-15
"세종특별자치시 금남면 감성리 152-16",1,,세종특별자치시 금남면 감성리 152-16,36.441907,127.290956,,한전주,044-301-3733,세종특별자치시청,2021-10-15
"세종특별자치시 금남면 감성리 152-5",1,,세종특별자치시 금남면 감성리 152-5,36.441896,127.291459,,한전주,044-301-3733,세종특별자치시청,2021-10-15
"세종특별자치시 금남면 감성리 158-1",1,,세종특별자치시 금남면 감성리 158-1,36.441716,127.291841,,한전주,044-301-3733,세종특별자치시청,2021-10-15
"세종특별자치시 금남면 감성리 163",1,,세종특별자치시 금남면 감성리 163,36.441877,127.292253,,,044-301-3733,세종특별자치시청,2021-10-15
"세종특별자치시 금남면 감성리 169-1",1,,세종특별자치시 금남면 감성리 169-1,36.4409164462,127.292489,,한전주,044-301-3733,세종특별자치시청,2021-10-15
"세종특별자치시 금남면 감성리 187-2",1,,세종특별자치시 금남면 감성리 187-2,36.440778,127.292832,,한전주,044-301-3733,세종특별자치시청,2021-10-15
