"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"두마면264",1,,충청남도 계룡시 두마면 입암리 471-2,36.2389867583,127.246979265,,전용주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면263",1,,충청남도 계룡시 두마면 입암리 471-2,36.2389867583,127.246979265,,전용주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면261",1,,충청남도 계룡시 두마면 입암리 461,36.2401557,127.2471172,,한전주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면258",1,,충청남도 계룡시 두마면 입암리 448,36.2413196,127.2476089,,한전주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면257",1,,충청남도 계룡시 두마면 입암리 447,36.2413553,127.2478411,,한전주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면260",1,,충청남도 계룡시 두마면 입암리 산63,36.2414363045,127.246056927,,한전주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면255",1,,충청남도 계룡시 두마면 입암리 447,36.2413850000,127.2478411,2016,한전주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면259",1,,충청남도 계룡시 두마면 입암리 450,36.2414160000,127.2473208,,한전주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면256",1,,충청남도 계룡시 두마면 입암리 447,36.2413553,127.2478411,,한전주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면252",1,,충청남도 계룡시 두마면 입암리 401,36.2417978953,127.2524437919,,전용주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면251",1,,충청남도 계룡시 두마면 입암리 401,36.2417978953,127.2524437919,,한전주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면253",1,,충청남도 계룡시 두마면 입암리 401,36.2417978953,127.2524437919,,한전주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면254",1,,충청남도 계룡시 두마면 입암리 401,36.2417978953,127.2524437919,,한전주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면249",1,,충청남도 계룡시 두마면 입암리 산46,36.2413333,127.2529535,,한전주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면250",1,,충청남도 계룡시 두마면 입암리 401,36.2417660000,127.2524437919,,전용주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면248",1,,충청남도 계룡시 두마면 입암리 415-1,36.2421317,127.2537992,,한전주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면245",1,,충청남도 계룡시 두마면 입암리 386,36.2420500,127.2568996,,전용주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면247",1,,충청남도 계룡시 두마면 입암리 410-1,36.2429171,127.2541611,,한전주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면246",1,,충청남도 계룡시 두마면 입암리 422,36.2432480,127.2554764,,한전주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면244",1,,충청남도 계룡시 두마면 입암리 386,36.2420500,127.2568996,,전용주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면243",1,,충청남도 계룡시 두마면 입암리 341-8,36.2451547222,127.25882724,,한전주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면242",1,,충청남도 계룡시 두마면 입암리 341-6,36.2454127,127.2589462,,한전주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면296",1,,충청남도 계룡시 두마면 입암리 344-2,36.2452670000,127.2599240000,2016,한전주,042-840-2563,충청남도 계룡시,2019-06-24
"두마면241",1,,충청남도 계룡시 두마면 입암리 341-4,36.2454880000,127.2592880000,,한전주,042-840-2563,충청남도 계룡시,2019-06-24
