"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"차동로",1,충청남도 공주시 차동로,충청남도 공주시 산정리 872-4,36.533517,126.948142,2000,한전주,041-840-8563,충청남도 공주시,2020-10-29
"차동로",1,충청남도 공주시 차동로,충청남도 공주시 산정리 872-3,36.533933,126.947832,2000,한전주,041-840-8563,충청남도 공주시,2020-10-29
"차동로",1,충청남도 공주시 차동로,충청남도 공주시 산정리 872-3,36.533599,126.947955,2000,한전주,041-840-8563,충청남도 공주시,2020-10-29
"차동로",1,충청남도 공주시 차동로,충청남도 공주시 만천리 601-7,36.534165,126.948094,2000,한전주,041-840-8563,충청남도 공주시,2020-10-29
"차동로",1,충청남도 공주시 차동로,충청남도 공주시 만천리 609-27,36.536008,126.947705,2000,한전주,041-840-8563,충청남도 공주시,2020-10-29
"차동로",1,충청남도 공주시 차동로,충청남도 공주시 만천리 601-7,36.534361,126.947854,2000,한전주,041-840-8563,충청남도 공주시,2020-10-29
"차동로",1,충청남도 공주시 차동로,충청남도 공주시 만천리 601-6,36.534564,,2000,한전주,041-840-8563,충청남도 공주시,2020-10-29
"차동로",1,충청남도 공주시 차동로,충청남도 공주시 만천리 465-6,36.535102,126.947929,2000,한전주,041-840-8563,충청남도 공주시,2020-10-29
"차동로",1,충청남도 공주시 차동로,충청남도 공주시 만천리 465-6,36.535395,126.947828,2000,한전주,041-840-8563,충청남도 공주시,2020-10-29
"차동로",1,충청남도 공주시 차동로,충청남도 공주시 만천리 465-6,36.535855,126.947739,2000,한전주,041-840-8563,충청남도 공주시,2020-10-29
"차동로",1,충청남도 공주시 차동로,충청남도 공주시 만천리 467-3,36.537854,126.947094,2000,한전주,041-840-8563,충청남도 공주시,2020-10-29
"차동로",1,충청남도 공주시 차동로,충청남도 공주시 만천리 466-7,,126.947029,2000,한전주,041-840-8563,충청남도 공주시,2020-10-29
"차동로",1,충청남도 공주시 차동로,충청남도 공주시 만천리 466-19,36.537812,126.947391,2000,한전주,041-840-8563,충청남도 공주시,2020-10-29
"차동로",1,충청남도 공주시 차동로,충청남도 공주시 만천리 499-18,36.538898,126.946849,2000,한전주,041-840-8563,충청남도 공주시,2020-10-29
"차동로",1,충청남도 공주시 차동로,충청남도 공주시 만천리 499-17,36.539225,126.946742,2000,한전주,041-840-8563,충청남도 공주시,2020-10-29
