"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"군북면 001",1,,충청남도 금산군 군북면 호티리705-1,36.1119003067,127.497237,2019,한전주,041-750-3472,충청남도  금산군 청,2022-11-29
"군북면 002",1,,충청남도 금산군 군북면 호티리705-1,36.1119003067,127.497237,2019,한전주,041-750-3472,충청남도  금산군 청,2022-11-29
"군북면 003",1,,충청남도 금산군 군북면 호티리705-1,36.1119003067,127.497237,2019,한전주,041-750-3472,충청남도  금산군 청,2022-11-29
"군북면 004",1,,충청남도 금산군 군북면 호티리705-1,36.1119003067,127.497237,2019,한전주,041-750-3472,충청남도  금산군 청,2022-11-29
"군북면 005",1,,충청남도 금산군 군북면 호티리700,36.110369,127.498218,2019,한전주,041-750-3472,충청남도  금산군 청,2022-11-29
"군북면 006",1,,충청남도 금산군 군북면 호티리700,36.110369,127.498218,2019,한전주,041-750-3472,충청남도  금산군 청,2022-11-29
"군북면 007",1,,충청남도 금산군 군북면 호티리816,36.111962,127.499297,2019,한전주,041-750-3472,충청남도  금산군 청,2022-11-29
"군북면 008",1,,충청남도 금산군 군북면 호티리700,36.110369,127.498218,2018,전용주,041-750-3472,충청남도  금산군 청,2022-11-29
"군북면 009",1,,충청남도 금산군 군북면 호티리700,36.110369,127.498218,2019,한전주,041-750-3472,충청남도  금산군 청,2022-11-29
"군북면 010",1,,충청남도 금산군 군북면 호티리674-1,36.105698,127.5051202114,2019,한전주,041-750-3472,충청남도  금산군 청,2022-11-29
"군북면 011",1,,충청남도 금산군 군북면 호티리625-2,36.105857,127.505054,2019,한전주,041-750-3472,충청남도  금산군 청,2022-11-29
"군북면 012",1,,충청남도 금산군 군북면 호티리807,36.108923,127.506671,2019,한전주,041-750-3472,충청남도  금산군 청,2022-11-29
"군북면 013",1,,충청남도 금산군 군북면 호티리807,36.108923,127.506671,2019,한전주,041-750-3472,충청남도  금산군 청,2022-11-29
"군북면 014",1,,충청남도 금산군 군북면 호티리657-4,36.108216,127.508288,2020,전용주,041-750-3472,충청남도  금산군 청,2022-11-29
"군북면 015",1,,충청남도 금산군 군북면 호티리656-1,36.108446,127.508068,2019,한전주,041-750-3472,충청남도  금산군 청,2022-11-29
"군북면 016",1,,충청남도 금산군 군북면 호티리647-2,36.108757,127.507742,2019,한전주,041-750-3472,충청남도  금산군 청,2022-11-29
