"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가야곡면 001",1,,충청남도 논산시 가야곡면 야촌리산 42-2,36.13834463,127.1495344,2017,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 002",1,,충청남도 논산시 가야곡면 야촌리299,36.1376314411,127.1487077339,2017,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 003",1,,충청남도 논산시 가야곡면 야촌리359-14,36.1414442185,127.1504864,2017,전용주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 004",1,,충청남도 논산시 가야곡면 야촌리360-2,36.14195776,127.1506241288,2018,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 007",1,,충청남도 논산시 가야곡면 야촌리58-5,36.1427905099,127.1515500417,2018,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 008",1,,충청남도 논산시 가야곡면 야촌리46-2,36.1439819660,127.1511667347,2018,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 010",1,,충청남도 논산시 가야곡면 야촌리339,36.14086288,127.146215,2018,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 011",1,,충청남도 논산시 가야곡면 야촌리산 50-1,36.1414630490,127.1456870637,2017,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 012",1,,충청남도 논산시 가야곡면 삼전리531-1,36.1087500575,127.1645152449,2017,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 013",1,,충청남도 논산시 가야곡면 야촌리380-3,36.1437773199,127.1474368732,2017,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 014",1,,충청남도 논산시 가야곡면 야촌리650-3,36.1437367071,127.1494604759,2017,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 015",1,,충청남도 논산시 가야곡면 야촌리373-7,36.14471854,127.1497801918,2018,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 017",1,,충청남도 논산시 가야곡면 야촌리41-1,36.1452246614,127.1505328134,2018,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 018",1,,충청남도 논산시 가야곡면 야촌리10-10,36.1467952348,127.1534021009,2017,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 019",1,,충청남도 논산시 가야곡면 강청리488-1,36.14802055,127.1550263,2017,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 020",1,,충청남도 논산시 가야곡면 강청리466-2,36.1459406896,127.1557271689,2018,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 021",1,,충청남도 논산시 가야곡면 강청리390-6,36.1454943312,127.1564091,2018,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 022",1,,충청남도 논산시 가야곡면 강청리528-9,36.1458693536,127.1583165947,2017,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 023",1,,충청남도 논산시 가야곡면 강청리374-3,36.14728555,127.1597803,2017,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 024",1,,충청남도 논산시 가야곡면 두월리9-2,36.1474026222,127.1578999293,2017,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 025",1,,충청남도 논산시 가야곡면 등리722,36.14877175,127.1609424,2017,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 026",1,,충청남도 논산시 가야곡면 등리718-1,36.14791416,127.1653634,2017,한전주,041-746-6244,충청남도 논산시청,2022-10-31
"가야곡면 027",1,,충청남도 논산시 가야곡면 두월리산 31-2,36.1488056051,127.1475485311,2017,한전주,041-746-6244,충청남도 논산시청,2022-10-31
