"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
LED소켓형,1,,충청남도 당진시 수청동 1133,36.88965702,126.6474658,2019,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"가로등076",1,,충청남도 당진시 면천면 자개리 655-3,36.794292,126.6690141,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"가로등095",1,,충청남도 당진시 석문면 교로리 산80-1,37.031662,126.5391951,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"가로등096",1,,충청남도 당진시 석문면 교로리 70-3,37.029328,126.5414681,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"가로등098",1,,충청남도 당진시 송산면 명산리 93-1,36.933805,126.7127911,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"가로등099",1,,충청남도 당진시 송산면 명산리 89,36.933512,126.7143411,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"가로등100",1,,충청남도 당진시 송산면 명산리 46-2,36.932284,126.7133691,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"가로등101",1,,충청남도 당진시 송산면 명산리 55,36.932569,126.7119991,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대001",1,,충청남도 당진시 고대면 옥현리 374-2,36.904281,126.5735021,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대002",1,,충청남도 당진시 고대면 옥현리 386,36.906479,126.5761711,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대003",1,,충청남도 당진시 고대면 옥현리 896,36.907599,126.5768721,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대004",1,,충청남도 당진시 고대면 옥현리 373-4,36.904032,126.5746481,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대005",1,,충청남도 당진시 고대면 옥현리 139-2,36.905083,126.5763471,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대006",1,,충청남도 당진시 고대면 옥현리 139-4,36.905005,126.5772681,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대007",1,,충청남도 당진시 고대면 옥현리 88-2,36.905299,126.5788371,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대008",1,,충청남도 당진시 고대면 옥현리 65-3,36.906199,126.5833651,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대009",1,,충청남도 당진시 고대면 진관리 1298-6,36.906895,126.5841812,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대010",1,,충청남도 당진시 고대면 진관리 1308,36.910015,126.5823121,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대011",1,,충청남도 당진시 고대면 진관리 산110-2,36.912426,126.5811211,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대012",1,,충청남도 당진시 고대면 옥현리 33,36.904341,126.5803681,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대013",1,,충청남도 당진시 고대면 옥현리 48-2,36.904452,126.5812212,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대014",1,,충청남도 당진시 고대면 옥현리 893,36.909251,126.5775811,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대015",1,,충청남도 당진시 고대면 옥현리 191-1,36.910854,126.5748791,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대016",1,,충청남도 당진시 고대면 옥현리 259,36.913225,126.5727671,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대017",1,,충청남도 당진시 고대면 옥현리 산131,36.914501,126.5743541,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대018",1,,충청남도 당진시 고대면 옥현리 272-1,36.912517,126.5712912,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대019",1,,충청남도 당진시 고대면 옥현리 469-4,36.912884,126.5682471,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대020",1,,충청남도 당진시 고대면 옥현리 446-1,36.911548,126.5650681,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대021",1,,충청남도 당진시 고대면 옥현리 433-7,36.910328,126.5640091,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대022",1,,충청남도 당진시 고대면 옥현리 298-2,36.912989,126.5648241,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대023",1,,충청남도 당진시 고대면 옥현리 462,36.912026,126.5675111,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대024",1,,충청남도 당진시 고대면 옥현리 456,36.911226,126.5682451,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대025",1,,충청남도 당진시 고대면 옥현리 489-1,36.915824,126.5687461,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대026",1,,충청남도 당진시 고대면 옥현리 238-2,36.917054,126.5699741,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대027",1,,충청남도 당진시 고대면 옥현리 228-5,36.918456,126.5714471,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대028",1,,충청남도 당진시 고대면 옥현리 215-1,36.918658,126.5699541,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대029",1,,충청남도 당진시 고대면 옥현리 555,36.919225,126.5674481,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대030",1,,충청남도 당진시 고대면 옥현리 535-2,36.919401,126.5662241,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대031",1,,충청남도 당진시 고대면 옥현리 산176-2,36.919392,126.5688611,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대033",1,,충청남도 당진시 고대면 옥현리 579-3,36.923478,126.5674011,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대034",1,,충청남도 당진시 고대면 옥현리 665-1,36.928171,126.5666451,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대035",1,,충청남도 당진시 고대면 옥현리 667,36.928198,126.5670151,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대036",1,,충청남도 당진시 고대면 옥현리 675-2,36.928416,126.5648821,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대037",1,,충청남도 당진시 고대면 옥현리 산280-4,36.930221,126.5654551,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대038",1,,충청남도 당진시 고대면 옥현리 639-2,36.931531,126.5684812,2014,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대039",1,,충청남도 당진시 고대면 진관리 524-4,36.912238,126.5942511,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대039_1",1,,충청남도 당진시 고대면 옥현리 772,36.932157,126.5703612,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대040",1,,충청남도 당진시 고대면 옥현리 734-1,36.934149,126.5655912,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대041",1,,충청남도 당진시 고대면 옥현리 690-2,36.929032,126.5634421,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대042",1,,충청남도 당진시 고대면 옥현리 1117,36.928392,126.5609761,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대043",1,,충청남도 당진시 고대면 옥현리 817-2,36.928386,126.5593041,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대044",1,,충청남도 당진시 고대면 옥현리 234-1,36.918946,126.5723761,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대045",1,,충청남도 당진시 고대면 옥현리 201-5,36.920208,126.5749841,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대046",1,,충청남도 당진시 고대면 진관리 1106-1,36.923284,126.5785021,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대047",1,,충청남도 당진시 고대면 진관리 1070-4,36.924609,126.5786291,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대048",1,,충청남도 당진시 고대면 진관리 1075,36.925541,126.5771651,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대049",1,,충청남도 당진시 고대면 진관리 953-1,36.924025,126.5816412,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대050",1,,충청남도 당진시 고대면 진관리 828-9,36.922731,126.5852951,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
"고대052",1,,충청남도 당진시 고대면 옥현리 408-3,36.903704,126.5687141,2008,한전주,041-350-4545,충청남도 당진시청,2021-10-26
