"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"웅천읍001",1,충청남도 보령시 갓골1길 110,충청남도 보령시 웅천읍 관당리 653-2,36.2537111,126.5398828,2018,한전주,041-930-3991,충청남도 보령시,2021-03-30
"웅천읍002",1,충청남도 보령시 갓골1길 100,충청남도 보령시 웅천읍 관당리 103,36.252267,126.543962,2019,전용주,041-930-3991,충청남도 보령시,2021-03-30
"웅천읍003",1,충청남도 보령시 갓골1길 81,충청남도 보령시 웅천읍 관당리 683-2,36.25306305,126.5441434,2020,전용주,041-930-3991,충청남도 보령시,2021-03-30
"웅천읍004",1,충청남도 보령시 갓골1길 70,충청남도 보령시 웅천읍 관당리 103,36.25218709,126.5463362,,전용주,041-930-3991,충청남도 보령시,2021-03-30
"웅천읍005",1,충청남도 보령시 갓골1길 62,충청남도 보령시 웅천읍 관당리 109,36.25307641,126.5470682,,전용주,041-930-3991,충청남도 보령시,2021-03-30
"웅천읍006",1,충청남도 보령시 갓골1길 56,충청남도 보령시 웅천읍 관당리 613-2,36.25364761,126.5473862,2019,한전주,041-930-3991,충청남도 보령시,2021-03-30
"웅천읍007",1,충청남도 보령시 갓골1길 46,충청남도 보령시 웅천읍 관당리 618,36.25403142,126.5478958,,전용주,041-930-3991,충청남도 보령시,2021-03-30
"웅천읍008",1,충청남도 보령시 갓골1길 42,충청남도 보령시 웅천읍 관당리 631-1,36.25481879,126.5475881,,전용주,041-930-3991,충청남도 보령시,2021-03-30
"웅천읍009",1,충청남도 보령시 갓골1길 36,충청남도 보령시 웅천읍 관당리 628-3,36.25504364,126.5480638,2020,한전주,041-930-3991,충청남도 보령시,2021-03-30
"웅천읍010",1,충청남도 보령시 갓골1길 36,충청남도 보령시 웅천읍 관당리 624-3,36.25439588,126.5483541,2020,한전주,041-930-3991,충청남도 보령시,2021-03-30
"웅천읍011",1,충청남도 보령시 갓골1길 24,충청남도 보령시 웅천읍 관당리 626,36.2547724,126.5484284,2020,전용주,041-930-3991,충청남도 보령시,2021-03-30
"웅천읍012",1,충청남도 보령시 갓골1길 16,충청남도 보령시 웅천읍 관당리 555-5,36.25383526,126.5490485,2019,전용주,041-930-3991,충청남도 보령시,2021-03-30
"웅천읍013",1,충청남도 보령시 갓골1길 13-14,충청남도 보령시 웅천읍 관당리 103,36.25287918,126.5497286,2018,한전주,041-930-3991,충청남도 보령시,2021-03-30
"웅천읍014",1,충청남도 보령시 갓골1길 21,충청남도 보령시 웅천읍 관당리 564-1,36.25213714,126.548616,2016,전용주,041-930-3991,충청남도 보령시,2021-03-30
"웅천읍015",1,충청남도 보령시 삼정골길 58,충청남도 보령시 웅천읍 관당리 산19,36.2538193129,126.5485837,2019,한전주,041-930-3991,충청남도 보령시,2021-03-30
"웅천읍016",1,충청남도 보령시 삼정골길 44,충청남도 보령시 웅천읍 관당리 1000,36.24893711,126.545426,2018,전용주,041-930-3991,충청남도 보령시,2021-03-30
"웅천읍017",1,,충청남도 보령시 웅천읍 관당리 468,36.24814474,126.5464931,2018,전용주,041-930-3991,충청남도 보령시,2021-03-30
"웅천읍018",1,충청남도 보령시 갓골큰길 90,충청남도 보령시 웅천읍 관당리 108,36.25113519,126.5446191,2017,전용주,041-930-3991,충청남도 보령시,2021-03-30
"웅천읍019",1,충청남도 보령시 갓골1길 4,충청남도 보령시 웅천읍 관당리 103,36.25214068,126.5474644,2018,전용주,041-930-3991,충청남도 보령시,2021-03-30
