"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"남면001",1,,충청남도 부여군 남면 삼용리 608-1,36.21497101,126.7821555,2016,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면002",1,,충청남도 부여군 남면 삼용리 622,36.21347429,126.7838662,2017,전용주,041-830-2335,충청남도 부여군청,2022-07-19
"남면003",1,충청남도 부여군 남면 삼용로92번길 30-12,충청남도 부여군 남면 삼용리 156,36.21611119,126.7839352,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면004",1,충청남도 부여군 남면 삼용로 68-43,충청남도 부여군 남면 삼용리 417,36.21679666,126.7832459,2017,전용주,041-830-2335,충청남도 부여군청,2022-07-19
"남면005",1,충청남도 부여군 남면 삼용로 68-28,충청남도 부여군 남면 삼용리 413-9,36.21671728,126.7837033,2017,전용주,041-830-2335,충청남도 부여군청,2022-07-19
"남면006",1,충청남도 부여군 남면 삼용로 68-47,충청남도 부여군 남면 삼용리 414,36.21709019,126.7831521,2017,전용주,041-830-2335,충청남도 부여군청,2022-07-19
"남면007",1,충청남도 부여군 남면 삼용로92번길 38-16,충청남도 부여군 남면 삼용리 415-1,36.21691598,126.7827468,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면008",1,충청남도 부여군 남면 삼용로 68-18,충청남도 부여군 남면 삼용리 162,36.21692974,126.7841272,2017,전용주,041-830-2335,충청남도 부여군청,2022-07-19
"남면009",1,충청남도 부여군 남면 삼용로 68-9,충청남도 부여군 남면 삼용리 130-5,36.21698962,126.7848977,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면010",1,충청남도 부여군 남면 삼용로 70-8,충청남도 부여군 남면 삼용리 126-1,36.21679826,126.784883,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면011",1,충청남도 부여군 남면 삼용로92번길 30-1,충청남도 부여군 남면 삼용리 426,36.21600922,126.7839058,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면012",1,충청남도 부여군 남면 삼용로92번길 22,충청남도 부여군 남면 삼용리 120,36.21596523,126.7850538,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면013",1,충청남도 부여군 남면 삼용로92번길 13,충청남도 부여군 남면 삼용리 611-1,36.21553536,126.7854045,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면014",1,충청남도 부여군 남면 삼용로92번길 2-10,충청남도 부여군 남면 삼용리 111,36.21602506,126.7860544,2017,전용주,041-830-2335,충청남도 부여군청,2022-07-19
"남면015",1,,충청남도 부여군 남면 삼용리 92,36.21627182,126.786149,2017,전용주,041-830-2335,충청남도 부여군청,2022-07-19
"남면016",1,충청남도 부여군 남면 삼용로92번길 2-2,충청남도 부여군 남면 삼용리 96-10,36.21603209,126.7868106,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면017",1,충청남도 부여군 남면 삼용로92번길 3,충청남도 부여군 남면 삼용리 35-3,36.21559803,126.7867845,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면018",1,충청남도 부여군 남면 삼용로92번길 6,충청남도 부여군 남면 삼용리 96-5,36.21551683,126.7865813,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면019",1,,충청남도 부여군 남면 삼용리 33-1,36.21557658,126.7876279,2017,전용주,041-830-2335,충청남도 부여군청,2022-07-19
"남면020",1,충청남도 부여군 남면 삼용로 87,충청남도 부여군 남면 삼용리 45-1,36.21616757,126.7871819,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면021",1,충청남도 부여군 남면 삼용로35번길 55,충청남도 부여군 남면 삼용리 46-1,36.21672638,126.7865625,2017,전용주,041-830-2335,충청남도 부여군청,2022-07-19
"남면022",1,,충청남도 부여군 남면 삼용리 85-1,36.21672023,126.7858892,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면024",1,충청남도 부여군 남면 삼용로92번길 20-7,충청남도 부여군 남면 삼용리 124,36.21649037,126.7850614,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면025",1,충청남도 부여군 남면 삼용로 68-9,충청남도 부여군 남면 삼용리 130-5,36.21698962,126.7848977,2017,전용주,041-830-2335,충청남도 부여군청,2022-07-19
"남면026",1,충청남도 부여군 남면 삼용로 62,충청남도 부여군 남면 삼용리 166-1,36.21757169,126.7845942,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면027",1,충청남도 부여군 남면 삼용로 56-6,충청남도 부여군 남면 삼용리 393,36.2185549,126.7834442,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면028",1,,충청남도 부여군 남면 삼용리 168-1,36.21828183,126.7840407,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면029",1,충청남도 부여군 남면 삼용로 45,충청남도 부여군 남면 삼용리 180-5,36.21919676,126.7841597,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면030",1,충청남도 부여군 남면 삼용로 29,충청남도 부여군 남면 삼용리 377-1,36.22042089,126.7837261,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면031",1,충청남도 부여군 남면 삼용로 9,충청남도 부여군 남면 삼용리 296-36,36.2223235,126.7832763,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면032",1,,충청남도 부여군 남면 삼용리 269-7,36.22488577,126.7866741,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
"남면033",1,,충청남도 부여군 남면 삼용리 272-16,36.22385813,126.7871699,2017,전용주,041-830-2335,충청남도 부여군청,2022-07-19
"남면035",1,,충청남도 부여군 남면 삼용리 272-16,36.22385813,126.7871699,2017,전용주,041-830-2335,충청남도 부여군청,2022-07-19
"남면036",1,충청남도 부여군 남면 삼용로35번길 7-31,충청남도 부여군 남면 삼용리 191,36.22070336,126.7861999,2017,한전주,041-830-2335,충청남도 부여군청,2022-07-19
