"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"고북면A001",1,충청남도 서산시 고북면 면학골길 118,충청남도 서산시 고북면 가구리 98,36.67891693,126.5399017,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A002",1,충청남도 서산시 고북면 고북1로 312,충청남도 서산시 고북면 가구리 624-1,36.66901398,126.5330811,2013년 이전,전용주,041-660-2389,서산시,2021-07-28
"고북면A003",1,,충청남도 서산시 고북면 가구리 694,36.65990067,126.5343475,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A004",1,충청남도 서산시 고북면 창동마을길12,충청남도 서산시 고북면 가구리 694,36.66010666,126.5343628,2013년 이전,전용주,041-660-2389,서산시,2021-07-28
"고북면A005",1,충청남도 서산시 고북면 창동마을길12,충청남도 서산시 고북면 가구리 541-20,36.66111374,126.5343018,2013년 이전,전용주,041-660-2389,서산시,2021-07-28
"고북면A006",1,충청남도 서산시 고북면 창동마을길12,충청남도 서산시 고북면 가구리 산 82-1,36.66080856,126.534761,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A007",1,충청남도 서산시 고북면 창동마을길48,충청남도 서산시 고북면 가구리 716,36.66030884,126.5368805,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A008",1,충청남도 서산시 고북면 창동마을길48,충청남도 서산시 고북면 가구리 716,36.66025925,126.5385208,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A009",1,충청남도 서산시 고북면 창동마을길60-2,충청남도 서산시 고북면 가구리 716,36.66045761,126.5392838,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A010",1,충청남도 서산시 고북면 창동마을길60-2,충청남도 서산시 고북면 가구리 710,36.66049194,126.5395737,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A011",1,충청남도 서산시 고북면 창동마을길78,충청남도 서산시 고북면 가구리 495,36.6601944,126.5407562,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A012",1,충청남도 서산시 고북면 창동마을길70-1,충청남도 서산시 고북면 가구리 491,36.66078949,126.5407867,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A013",1,충청남도 서산시 고북면 창동마을길87,충청남도 서산시 고북면 가구리 733,36.65954971,126.5411835,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A014",1,충청남도 서산시 고북면 창동마을길12,충청남도 서산시 고북면 가구리 541-10,36.66090012,126.534317,2013년 이전,전용주,041-660-2389,서산시,2021-07-28
"고북면A015",1,충청남도 서산시 고북면 창동마을길12,충청남도 서산시 고북면 가구리 694,36.66133118,126.5339355,2013년 이전,전용주,041-660-2389,서산시,2021-07-28
"고북면A016",1,,충청남도 서산시 고북면 가구리 694,36.6617775,126.5335846,2013년 이전,전용주,041-660-2389,서산시,2021-07-28
"고북면A017",1,충청남도 서산시 고북면 고북1로248-39,충청남도 서산시 고북면 가구리 710,36.66278076,126.5373535,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A018",1,충청남도 서산시 고북면 고북1로248-39,충청남도 서산시 고북면 가구리 699,36.66299057,126.5376663,2013년 이전,전용주,041-660-2389,서산시,2021-07-28
"고북면A019",1,충청남도 서산시 고북면 고북1로248-39,충청남도 서산시 고북면 가구리 710,36.66275787,126.5380936,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A020",1,충청남도 서산시 고북면 고북1로248-39,충청남도 서산시 고북면 가구리 716,36.66272354,126.5387802,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A021",1,,충청남도 서산시 고북면 가구리 712,36.6626358,126.5408478,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A022",1,충청남도 서산시 고북면 문화마을1로77,충청남도 서산시 고북면 가구리 689,36.6619072,126.5329361,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A023",1,충청남도 서산시 고북면 고북1로268-5,충청남도 서산시 고북면 가구리 590-4,36.66497421,126.5336151,2013년 이전,전용주,041-660-2389,서산시,2021-07-28
"고북면A024",1,충청남도 서산시 고북면 고북1로268-17,충청남도 서산시 고북면 가구리 590-2,36.66511536,126.5338364,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A025",1,충청남도 서산시 고북면 고북1로268-10,충청남도 서산시 고북면 가구리 590-2,36.66509628,126.5339508,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A026",1,충청남도 서산시 고북면 고북1로276-22,충청남도 서산시 고북면 가구리 591-7,36.66539764,126.5345078,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A027",1,충청남도 서산시 고북면 고북1로276-16,충청남도 서산시 고북면 가구리 592,36.66567612,126.5343552,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A028",1,충청남도 서산시 고북면 고북1로280,충청남도 서산시 고북면 가구리 699,36.6657753,126.5331802,2013년 이전,전용주,041-660-2389,서산시,2021-07-28
"고북면A029",1,충청남도 서산시 고북면 가구전길17-6,충청남도 서산시 고북면 가구리 603-1,36.66644669,126.5341644,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A030",1,충청남도 서산시 고북면 가구전길17,,36.66607666,126.5349503,2013년 이전,전용주,041-660-2389,서산시,2021-07-28
"고북면A031",1,,충청남도 서산시 고북면 가구리 603-2,36.66638565,126.534668,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A032",1,충청남도 서산시 고북면 가구전길37-3,충청남도 서산시 고북면 가구리 272,36.66597748,126.5364914,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A033",1,충청남도 서산시 고북면 가구전길49,충청남도 서산시 고북면 가구리 266,36.66614151,126.5380936,2013년 이전,전용주,041-660-2389,서산시,2021-07-28
"고북면A034",1,충청남도 서산시 고북면 가구전길49,충청남도 서산시 고북면 가구리 675-2,36.66613388,126.5385056,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A035",1,충청남도 서산시 고북면 가구전길55,충청남도 서산시 고북면 가구리 254,36.6661644,126.5391617,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
"고북면A036",1,충청남도 서산시 고북면 가구전길61,충청남도 서산시 고북면 가구리 250,36.66627884,126.5398865,2013년 이전,전용주,041-660-2389,서산시,2021-07-28
"고북면A037",1,충청남도 서산시 고북면 가구전길75,충청남도 서산시 고북면 가구리 701,36.66639328,126.5410995,2013년 이전,한전주,041-660-2389,서산시,2021-07-28
