"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"보안등-1",1,,충청남도 서천군 마서면 옥북리 233,36.045464,126.694625,,한전주,041-950-6854,충청남도 서천군청,2022-06-17
"보안등-2",1,,충청남도 서천군 마서면 옥북리 산1-60,36.046621,126.694141,,한전주,041-950-6854,충청남도 서천군청,2022-06-17
"보안등-3",1,,충청남도 서천군 마서면 덕암리 650-19,36.047125,126.695985,,한전주,041-950-6854,충청남도 서천군청,2022-06-17
"보안등-4",1,,충청남도 서천군 마서면 덕암리 572-4,36.046411,126.697112,,한전주,041-950-6854,충청남도 서천군청,2022-06-17
"보안등-5",1,,충청남도 서천군 마서면 덕암리 572-4,36.046851,126.700724,,한전주,041-950-6854,충청남도 서천군청,2022-06-17
"보안등-6",1,,충청남도 서천군 마서면 덕암리 581,36.047424,126.701883,,한전주,041-950-6854,충청남도 서천군청,2022-06-17
"보안등-7",1,,충청남도 서천군 마서면 덕암리 572-4,36.046892,126.702618,,한전주,041-950-6854,충청남도 서천군청,2022-06-17
"보안등-8",1,,충청남도 서천군 마서면 덕암리 569,36.045815,126.703335,,한전주,041-950-6854,충청남도 서천군청,2022-06-17
"보안등-9",1,,충청남도 서천군 마서면 덕암리 621,36.048923,126.702659,,한전주,041-950-6854,충청남도 서천군청,2022-06-17
"보안등-10",1,,충청남도 서천군 마서면 덕암리 655,36.049648,126.703007,,한전주,041-950-6854,충청남도 서천군청,2022-06-17
"보안등-11",1,,충청남도 서천군 마서면 덕암리 607-10,36.048821,126.705125,,한전주,041-950-6854,충청남도 서천군청,2022-06-17
"보안등-12",1,,충청남도 서천군 마서면 덕암리 655,36.048318,126.705801,,한전주,041-950-6854,충청남도 서천군청,2022-06-17
"보안등-13",1,,충청남도 서천군 마서면 덕암리 535-2,36.047941,126.705932,,한전주,041-950-6854,충청남도 서천군청,2022-06-17
"보안등-14",1,,충청남도 서천군 마서면 덕암리 542-3,36.046941,126.706316,,한전주,041-950-6854,충청남도 서천군청,2022-06-17
"보안등-15",1,,충청남도 서천군 마서면 덕암리 658,36.044056,126.704097,,한전주,041-950-6854,충청남도 서천군청,2022-06-17
"보안등-16",1,,충청남도 서천군 마서면 덕암리 658,36.044184,126.703604,,한전주,041-950-6854,충청남도 서천군청,2022-06-17
"보안등-17",1,,충청남도 서천군 마서면 덕암리 276-14,36.041837,126.703861,,한전주,041-950-6854,충청남도 서천군청,2022-06-17
