"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"배방읍001",1,,충청남도 아산시 배방읍세출리345-2,36.743084,127.072235,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍002",1,,충청남도 아산시 배방읍세출리345-8,36.742443,127.072395,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍003",1,,충청남도 아산시 배방읍세출리347,36.742207,127.072159,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍004",1,,충청남도 아산시 배방읍세출리산 56,36.742077,,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍005",1,,충청남도 아산시 배방읍회룡리487-32,36.743362,127.0728626,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍006",1,,충청남도 아산시 배방읍세출리345-3,36.743389,127.0729019,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍007",1,,충청남도 아산시 배방읍세출리345-3,36.74341021,127.0729019,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍008",1,,충청남도 아산시 배방읍세출리355-1,36.741749,127.071571,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍009",1,,충청남도 아산시 배방읍세출리353-3,36.741749,127.072456,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍010",1,,충청남도 아산시 배방읍세출리355-22,36.74136765,127.072426,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍011",1,,충청남도 아산시 배방읍세출리355,36.741421,127.072075,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍012",1,,충청남도 아산시 배방읍세출리355-14,36.7412042,127.072563,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍013",1,,충청남도 아산시 배방읍세출리355-16,36.74108397,127.072586,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍014",1,,충청남도 아산시 배방읍세출리427-1,36.740757,127.072838,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍015",1,,충청남도 아산시 배방읍세출리358-12,36.740185,127.0728683,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍016",1,,충청남도 아산시 배방읍세출리358-10,36.740059,127.072853,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍017",1,,충청남도 아산시 배방읍세출리358-8,36.739899,127.072685,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍018",1,,충청남도 아산시 배방읍세출리358-11,36.740261,127.072525,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍019",1,,충청남도 아산시 배방읍세출리357-3,36.739491,127.072411,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍020",1,,충청남도 아산시 배방읍세출리437-1,36.739403,,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍021",1,,충청남도 아산시 배방읍세출리437-1,36.739319,127.071709,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍022",1,,충청남도 아산시 배방읍세출리357-8,36.739616,127.071709,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍023",1,,충청남도 아산시 배방읍세출리437-1,36.739151,127.071556,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍024",1,,충청남도 아산시 배방읍세출리390-6,36.738583,127.071259,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍025",1,,충청남도 아산시 배방읍세출리392-1,36.737907,127.070671,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍026",1,,충청남도 아산시 배방읍세출리357-9,36.739334,127.071381,,한전주,041-540-2943,충청남도 아산시,2020-09-15
"배방읍027",1,,충청남도 아산시 배방읍세출리344-6,36.742882,127.073059,,한전주,041-540-2943,충청남도 아산시,2020-09-15
