"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"동서리021",1,,충청남도 예산군 대흥면 동서리 122,36.60774976,126.7885088,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리068",1,,충청남도 예산군 삽교읍 두리 607-12,36.68781273,126.7420696,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리067",1,,충청남도 예산군 삽교읍 두리 607-5,36.68785053,126.7432535,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리066",1,,충청남도 예산군 삽교읍 두리 562-2,36.68611257,126.7433234,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리065",1,,충청남도 예산군 삽교읍 두리 547-4,36.68649804,126.7437559,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리064",1,,충청남도 예산군 삽교읍 두리 563-5,36.68645706,126.7433272,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리063",1,,충청남도 예산군 삽교읍 두리 608-2,36.68711117,126.7434789,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리062",1,,충청남도 예산군 삽교읍 두리 105-138,36.688626,126.7496262,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리139",1,,충청남도 예산군 삽교읍 두리 802-42,36.68727535,126.7360139,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리138",1,,충청남도 예산군 삽교읍 두리 572-37,36.68786677,126.7397811,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리137",1,,충청남도 예산군 삽교읍 두리 425-7,36.69290864,126.7416424,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리136",1,,충청남도 예산군 삽교읍 두리 894,36.69386315,126.7426482,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리056",1,,충청남도 예산군 삽교읍 두리 532-5,36.68801087,126.7443674,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리055",1,,충청남도 예산군 삽교읍 두리 532-5,36.68801087,126.7443674,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리054",1,,충청남도 예산군 삽교읍 두리 544-2,36.68743858,126.7439978,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리049",1,,충청남도 예산군 삽교읍 두리 545-11,36.68688235,126.7440825,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리048",1,,충청남도 예산군 삽교읍 두리 545-10,36.68668541,126.7440137,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리047",1,,충청남도 예산군 삽교읍 두리 547-5,36.68635863,126.744515,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리045",1,,충청남도 예산군 삽교읍 두리 103-32,36.68920006,126.7511344,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리044",1,,충청남도 예산군 삽교읍 신가리 860,36.68559553,126.7531518,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리043",1,,충청남도 예산군 삽교읍 두리 877,36.69812322,126.7456143,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리042",1,,충청남도 예산군 삽교읍 두리 881,36.69563568,126.7475413,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리041",1,,충청남도 예산군 삽교읍 두리 730-16,36.69330849,126.7435809,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리035",1,,충청남도 예산군 삽교읍 두리 517-2,36.69060259,126.7454493,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리034",1,,충청남도 예산군 삽교읍 두리 산50-7,36.69021651,126.7470705,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리033",1,,충청남도 예산군 삽교읍 두리 105-21,36.69036856,126.7477948,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리032",1,,충청남도 예산군 삽교읍 두리 127-46,36.69398747,126.7520389,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리031",1,,충청남도 예산군 삽교읍 두리 124-2,36.6941024,126.7546061,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리030",1,,충청남도 예산군 삽교읍 신가리 282-1,36.68579523,126.7362668,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리029",1,,충청남도 예산군 삽교읍 두리 127-49,36.69477967,126.7521259,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리028",1,,충청남도 예산군 삽교읍 두리 127-11,36.69488791,126.752149,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리027",1,,충청남도 예산군 삽교읍 두리 144-88,36.69557284,126.7523491,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리026",1,,충청남도 예산군 삽교읍 두리 144-88,36.69557284,126.7523742,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리024",1,,충청남도 예산군 삽교읍 두리 146-10,36.69651579,126.7527084,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"상하리005",1,,충청남도 예산군 삽교읍 상하리 537-4,36.71556265,126.6834283,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"상하리004",1,,충청남도 예산군 삽교읍 상하리 522,36.71304784,126.6775107,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"상하리003",1,,충청남도 예산군 삽교읍 상하리 537-4,36.71556265,126.6834283,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"상하리002",1,,충청남도 예산군 삽교읍 상하리 537-4,36.71556265,126.6834283,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"상하리001",1,,충청남도 예산군 삽교읍 상하리 453-45,36.71516592,126.6788384,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"상중리051",1,,충청남도 예산군 대흥면 상중리 481,36.60600006,126.7919534,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리095",1,,충청남도 예산군 삽교읍 두리 575-54,36.68836214,126.7385015,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리094",1,,충청남도 예산군 삽교읍 두리 573-3,36.68848196,126.7389122,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리093",1,,충청남도 예산군 삽교읍 두리 583-2,36.6884232,126.7396351,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리092",1,,충청남도 예산군 삽교읍 두리 583-4,36.68840565,126.7397879,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리091",1,,충청남도 예산군 삽교읍 두리 568-1,36.68756631,126.7412157,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리090",1,,충청남도 예산군 삽교읍 두리 568-37,36.68732313,126.7409491,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리089",1,,충청남도 예산군 삽교읍 두리 568-37,36.68732313,126.7409491,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리088",1,,충청남도 예산군 삽교읍 두리 572-19,36.68765664,126.7409231,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리087",1,,충청남도 예산군 삽교읍 두리 830-2,36.68954439,126.7383403,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리086",1,,충청남도 예산군 삽교읍 두리 601-4,36.68786689,126.7411018,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리085",1,,충청남도 예산군 삽교읍 두리 603,36.68782295,126.7416792,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리084",1,,충청남도 예산군 삽교읍 두리 568-45,36.68708075,126.7410822,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리083",1,,충청남도 예산군 삽교읍 두리 803-357,36.68668727,126.7364665,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리082",1,,충청남도 예산군 삽교읍 두리 569-1,36.68747257,126.7394777,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리081",1,,충청남도 예산군 삽교읍 두리 570-29,36.6866203,126.7400436,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리080",1,,충청남도 예산군 삽교읍 두리 569-1,36.68747257,126.7394777,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리079",1,,충청남도 예산군 삽교읍 두리 568-47,36.6869818,126.7406997,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리078",1,,충청남도 예산군 삽교읍 두리 568-47,36.6869818,126.7406654,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리077",1,,충청남도 예산군 삽교읍 두리 568-47,36.6869818,126.7406654,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리076",1,,충청남도 예산군 삽교읍 두리 568-45,36.68708075,126.7410822,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리075",1,,충청남도 예산군 삽교읍 두리 568-47,36.6869818,126.7406654,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리074",1,,충청남도 예산군 삽교읍 두리 572-28,36.68783194,126.7405078,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리073",1,,충청남도 예산군 삽교읍 두리 586-1,36.68913944,126.740541,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리072",1,,충청남도 예산군 삽교읍 두리 627-3,36.69083057,126.7407625,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리071",1,,충청남도 예산군 삽교읍 두리 653-6,36.6906068,126.740098,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리070",1,,충청남도 예산군 삽교읍 두리 577-7,36.68895791,126.7369915,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"두리069",1,,충청남도 예산군 삽교읍 두리 600-2,36.68832721,126.7418782,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"상중리035",1,,충청남도 예산군 대흥면 상중리 산9-1,36.60147082,126.7831095,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"상중리034",1,,충청남도 예산군 대흥면 상중리 444-2,36.60138875,126.7833539,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"상중리033",1,,충청남도 예산군 대흥면 상중리 490,36.60267049,126.7866122,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"상중리031",1,,충청남도 예산군 대흥면 동서리 105-1,36.60591475,126.7884602,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"상중리030",1,,충청남도 예산군 대흥면 상중리 427-2,36.60313697,126.7852215,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"상중리029",1,,충청남도 예산군 대흥면 상중리 431,36.60253588,126.7854097,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"상중리028",1,,충청남도 예산군 대흥면 상중리 433,36.60221209,126.7852782,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"상중리027",1,,충청남도 예산군 대흥면 상중리 391-1,36.60284047,126.7866113,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
"상하리028",1,,충청남도 예산군 삽교읍 상하리 537-17,36.71205313,126.6884112,,한전주,041-339-7114,충청남도 예산군청,2022-11-30
