"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"충청남도 천안시 동남구 신부동 286-4",1,충청남도 천안시 동남구 단대로 76,충청남도 천안시 동남구 신부동 286-4,36.82875707,127.1597097,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 신부동 859",1,충청남도 천안시 동남구 중앙로 281-14,충청남도 천안시 동남구 신부동 859,36.8235428,127.1513036,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 목천읍 서리 62-3",1,,충청남도 천안시 동남구 목천읍 서리 62-3,36.78266396,127.2348718,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 신방동 750-1",1,,충청남도 천안시 동남구 신방동 750-1,36.78563393,127.1231291,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 신방동 751-1",1,,충청남도 천안시 동남구 신방동 751-1,36.78528234,127.1231106,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 신방동 753-1",1,,충청남도 천안시 동남구 신방동 753-1,36.78457006,127.1230627,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 동면 송연리 130-1",1,,충청남도 천안시 동남구 동면 송연리 130-1,36.78090469,127.3649587,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 북면 양곡리 375-2",1,,충청남도 천안시 동남구 북면 양곡리 375-2,36.85060323,127.2796667,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 북면 양곡리 398-2",1,,충청남도 천안시 동남구 북면 양곡리 398-2,36.85105915,127.2805483,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 안서동 170-3",1,,충청남도 천안시 동남구 안서동 170-3,36.83370863,127.1942186,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 용곡동 713-4",1,,충청남도 천안시 동남구 용곡동 713-4,36.78926387,127.1401967,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 북면 연춘리 242-3",1,,충청남도 천안시 동남구 북면 연춘리 242-3,36.77182553,127.2466181,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 북면 연춘리 163-6",1,,충청남도 천안시 동남구 북면 연춘리 163-6,36.77155184,127.2475169,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 북면 납안리 37",1,충청남도 천안시 동남구 북면 위례성로 1098-39,충청남도 천안시 동남구 북면 납안리 37,36.85627905,127.2705301,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 성남면 신사리 540-4",1,,충청남도 천안시 동남구 성남면 신사리 540-4,36.74466156,127.2293249,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 안서동 169-6",1,,충청남도 천안시 동남구 안서동 169-6,36.83415311,127.1933171,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 안서동 171-3",1,충청남도 천안시 동남구 각원사길 245,충청남도 천안시 동남구 안서동 171-3,36.83526625,127.1966742,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 안서동 171-3",1,충청남도 천안시 동남구 각원사길 245,충청남도 천안시 동남구 안서동 171-3,36.83526625,127.1966742,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 용곡동 712-2",1,,충청남도 천안시 동남구 용곡동 712-2,36.78926387,127.1401967,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 용곡동 837-3",1,,충청남도 천안시 동남구 용곡동 837-3,36.78028453,127.1371937,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 용곡동 836-1",1,,충청남도 천안시 동남구 용곡동 836-1,36.78028453,127.1371937,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 용곡동 841-6",1,,충청남도 천안시 동남구 용곡동 841-6,36.78028453,127.1371937,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 용곡동 842-1",1,,충청남도 천안시 동남구 용곡동 842-1,36.78028453,127.1371937,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 용곡동 103-4",1,,충청남도 천안시 동남구 용곡동 103-4,36.78365754,127.1413012,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 청당동 85-1",1,,충청남도 천안시 동남구 청당동 85-1,36.77380267,127.1531843,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 청당동 210-1",1,,충청남도 천안시 동남구 청당동 210-1,36.78079816,127.153522,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 원성동 201-5",1,충청남도 천안시 동남구 원성26길 5,충청남도 천안시 동남구 원성동 201-5,36.80667008,127.1597938,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 목천읍 서리64-7",1,,충청남도 천안시 동남구 목천읍 서리64-7,36.78300538,127.2347116,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 목천읍 석천리34",1,,충청남도 천안시 동남구 목천읍 석천리34,36.83833635,127.2430188,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
"충청남도 천안시 동남구 목천읍 도장리 79-1",1,충청남도 천안시 동남구 목천읍 도장로 255,충청남도 천안시 동남구 목천읍 도장리 79-1,36.75110142,127.1960337,,,041-521-4441,충청남도 천안시 동남구청 건설과,2022-06-30
