"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"청양읍 읍내리",1,,충청남도 청양군 청양읍 읍내리 226-33,36.45512691,126.8030042,,전용주,041-940-2365,충청남도-청양군청,2022-10-18
"청양읍 벽천리",1,,충청남도 청양군 청양읍 벽천리 334-4,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"화성면 화강리",1,,충청남도 청양군 화성면 화강리 135,36.42591147,126.7006744,,전용주,041-940-2365,충청남도-청양군청,2022-10-18
"남양면 금정리",1,,충청남도 청양군 남양면 금정리 205-1,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"남양면 금정리",1,,충청남도 청양군 남양면 금정리 206,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"남양면 백금리",1,,충청남도 청양군 남양면 백금리 669,36.39878361,126.7442231,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"대치면 오룡리",1,,충청남도 청양군 대치면 오룡리 60,36.44931878,126.8816359,,,041-940-2365,충청남도-청양군청,2022-10-18
"장평면 중추리",1,,충청남도 청양군 장평면 중추리 612-79,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"남양면 용마리",1,,충청남도 청양군 남양면 용마리 774,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"목면 안심리",1,,충청남도 청양군 목면 안심리 164-9,36.42399732,127.0147161,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"정산면 백곡리",1,,충청남도 청양군 정산면 백곡리 43,36.41212462,126.9730938,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"청양읍 정좌리",1,,충청남도 청양군 청양읍 정좌리 89-1,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"남양면 봉암리",1,,충청남도 청양군 남양면 봉암리 14-1,36.41563447,126.7883677,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"남양면 봉암리",1,,충청남도 청양군 남양면 봉암리 산1-1,36.41609831,126.7879658,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"남양면 용두리",1,,충청남도 청양군 남양면 용두리 518,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"대치면 주정리",1,,충청남도 청양군 대치면 주정리 484-6,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"대치면 수석리",1,,충청남도 청양군 대치면 수석리 449,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"대치면 수석리",1,,충청남도 청양군 대치면 수석리 312,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"대치면 농소리",1,,충청남도 청양군 대치면 농소리 497,36.47601265,126.854393,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"대치면 농소리",1,,충청남도 청양군 대치면 농소리 산100-1,36.50398342,126.8593285,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"청남면 내직리",1,,충청남도 청양군 청남면 내직리 산54,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"청남면 지곡리",1,,충청남도 청양군 청남면 지곡리 270-10,36.37266167,126.946813,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"청남면 지곡리",1,,충청남도 청양군 청남면 지곡리 270-10,36.37266167,126.946813,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"장평면 미당리",1,,충청남도 청양군 장평면 미당리 481,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"장평면 중추리",1,,충청남도 청양군 장평면 중추리 519-12,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"대치면 광대리",1,,충청남도 청양군 대치면 광대리 113-1,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"운곡면 모곡리",1,,충청남도 청양군 운곡면 모곡리 407-3,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"운곡면 모곡리",1,,충청남도 청양군 운곡면 모곡리 407-3,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"운곡면 모곡리",1,,충청남도 청양군 운곡면 모곡리 856,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"운곡면 모곡리",1,,충청남도 청양군 운곡면 모곡리 364,36.52436064,126.8408508,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"운곡면 영양리",1,,충청남도 청양군 운곡면 영양리 84-2,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"남양면 매곡리",1,,충청남도 청양군 남양면 매곡리 산12-7,36.37505256,126.7671245,,전용주,041-940-2365,충청남도-청양군청,2022-10-18
"남양면 온직리",1,,충청남도 청양군 남양면 온직리 945,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"운곡면 추광리",1,,충청남도 청양군 운곡면 추광리 645-10,36.54045692,126.8774577,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"운곡면 추광리",1,,충청남도 청양군 운곡면 추광리 284-1,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"청양읍 벽천리",1,,충청남도 청양군 청양읍 벽천리 316-8,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"청양읍 군량리",1,,충청남도 청양군 청양읍 군량리 533,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"청양읍 군량리",1,,충청남도 청양군 청양읍 군량리 533,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"청양읍 장승리",1,,충청남도 청양군 청양읍 장승리 619,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"청양읍 학당리",1,,충청남도 청양군 청양읍 학당리 254,36.46003617,126.7957624,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"화성면 장계리",1,,충청남도 청양군 화성면 장계리 산149,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"화성면 수정리",1,,충청남도 청양군 화성면 수정리 468,36.47316867,126.7140055,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"화성면 용당리",1,,충청남도 청양군 화성면 용당리 517,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"비봉면 양사리",1,,충청남도 청양군 비봉면 양사리 산139-4,36.5003359135,126.7599718784,,전용주,041-940-2365,충청남도-청양군청,2022-10-18
"비봉면 신원리",1,,충청남도 청양군 비봉면 신원리 751-1,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"비봉면 중묵리",1,,충청남도 청양군 비봉면 중묵리 267,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"목면 본의리",1,,충청남도 청양군 목면 본의리 산33-21,,,,전용주,041-940-2365,충청남도-청양군청,2022-10-18
"청양읍 장승리",1,,충청남도 청양군 청양읍 장승리 613,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"장평면 중추리",1,,충청남도 청양군 장평면 중추리 178,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"운곡면 모곡리",1,,충청남도 청양군 운곡면 모곡리 162,36.52842669,126.838803,,,041-940-2365,충청남도-청양군청,2022-10-18
"운곡면 미량리",1,,충청남도 청양군 운곡면 미량리 19-2,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"청남면 아산리",1,,충청남도 청양군 청남면 아산리 337-2,36.33888559,126.9223944,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"정산면 백곡리",1,,충청남도 청양군 정산면 백곡리 414,36.41955807,126.9692222,,,041-940-2365,충청남도-청양군청,2022-10-18
"청양읍 정좌리",1,,충청남도 청양군 청양읍 정좌리 319-2,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"비봉면 신원리",1,,충청남도 청양군 비봉면 신원리 660,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"장평면 중추리",1,,충청남도 청양군 장평면 중추리 730,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"목면 지곡리",1,,충청남도 청양군 목면 지곡리 450,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"청양읍 벽천리",1,,충청남도 청양군 청양읍 벽천리 223-13,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"목면 본의리",1,,충청남도 청양군 목면 본의리 539-7,36.44078275,126.978662,,,041-940-2365,충청남도-청양군청,2022-10-18
"목면 본의리",1,,충청남도 청양군 목면 본의리 637-1,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"목면 본의리",1,,충청남도 청양군 목면 본의리 산33-19,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"청양읍 학당리",1,,충청남도 청양군 청양읍 학당리 646,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"청양읍 백천리",1,,충청남도 청양군 청양읍 백천리 279-2,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"정산면 서정리",1,,충청남도 청양군 정산면 서정리 390,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"비봉면 양사리",1,,충청남도 청양군 비봉면 양사리 726-1,36.50755579,126.7607896,,,041-940-2365,충청남도-청양군청,2022-10-18
"대치면 농소리",1,,충청남도 청양군 대치면 농소리 산21-1,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"대치면 농소리",1,,충청남도 청양군 대치면 농소리 601-1,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"청남면 내직리",1,,충청남도 청양군 청남면 내직리 189,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"대치면 농소리",1,,충청남도 청양군 대치면 농소리 593,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"비봉면 장재리",1,,충청남도 청양군 비봉면 장재리 520-1,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"장평면 적곡리",1,,충청남도 청양군 장평면 적곡리 606-2,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"청남면 동강리",1,,충청남도 청양군 청남면 동강리 산 19-1,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"대치면 이화리",1,,충청남도 청양군 대치면 이화리 657-4,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"대치면 장곡리",1,,충청남도 청양군 대치면 장곡리 145,36.40428717,126.845907,,,041-940-2365,충청남도-청양군청,2022-10-18
"청양읍 읍내리",1,,충청남도 청양군 청양읍 읍내리 320-2,36.44877242,126.802829,,,041-940-2365,충청남도-청양군청,2022-10-18
"청양읍 교월리",1,,충청남도 청양군 청양읍 교월리 48-7,36.45401603,126.814584,,,041-940-2365,충청남도-청양군청,2022-10-18
"청양읍 교월리",1,,충청남도 청양군 청양읍 교월리 48-7,36.45401603,126.814584,,,041-940-2365,충청남도-청양군청,2022-10-18
"남양면 금정리",1,,충청남도 청양군 남양면 금정리 산24,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"목면 안심리",1,,충청남도 청양군 목면 안심리 164-9,36.42399732,127.0147161,,,041-940-2365,충청남도-청양군청,2022-10-18
"장평면 화산리",1,,충청남도 청양군 장평면 화산리 484-66,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"장평면 은곡리",1,,충청남도 청양군 장평면 은곡리 483,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"목면 신흥리",1,,충청남도 청양군 목면 신흥리 68-1,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"운곡면 신대리",1,,충청남도 청양군 운곡면 신대리 481-3,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"청남면 아산리",1,,충청남도 청양군 청남면 아산리 319-1,,,,,041-940-2365,충청남도-청양군청,2022-10-18
"비봉면 장재리",1,,충청남도 청양군 비봉면 장재리 480-2,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"비봉면 장재리",1,,충청남도 청양군 비봉면 장재리 579,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"비봉면 장재리",1,,충청남도 청양군 비봉면 장재리 351-2,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"비봉면 장재리",1,,충청남도 청양군 비봉면 장재리 519-4,36.5310919,126.780311,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"비봉면 장재리",1,,충청남도 청양군 비봉면 장재리 347-3,36.53078497,126.7787047,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
"비봉면 장재리",1,,충청남도 청양군 비봉면 장재리 550,,,,한전주,041-940-2365,충청남도-청양군청,2022-10-18
