"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"태안0135",1,충청남도 태안군 태안읍 남문리 709-2,충청남도 태안군 태안읍 남문리 709-2,36.74715065,126.3023148,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0137",1,충청남도 태안군 태안읍 남문리 709-7,충청남도 태안군 태안읍 남문리 709-7,36.7467669,126.3032078,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0138",1,충청남도 태안군 태안읍 남문리 702-14,충청남도 태안군 태안읍 남문리 702-14,36.74686225,126.3035752,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0139",1,충청남도 태안군 태안읍 남문리 702-13,충청남도 태안군 태안읍 남문리 702-13,36.74679369,126.303823,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0140",1,충청남도 태안군 태안읍 남문리 702-13,충청남도 태안군 태안읍 남문리 702-13,36.74679369,126.303823,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0141",1,충청남도 태안군 태안읍 남문리 702-9,충청남도 태안군 태안읍 남문리 702-9,36.74707358,126.3038617,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0142",1,충청남도 태안군 태안읍 남문리 702-4,충청남도 태안군 태안읍 남문리 702-4,36.74752893,126.3041988,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0143",1,충청남도 태안군 태안읍 남문리 702-15,충청남도 태안군 태안읍 남문리 702-15,36.74694994,126.3034053,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0144",1,충청남도 태안군 태안읍 남문리 702-7,충청남도 태안군 태안읍 남문리 702-7,36.74731441,126.3036884,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0145",1,충청남도 태안군 태안읍 남문리 702-1,충청남도 태안군 태안읍 남문리 702-1,36.74766038,126.3039383,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0146",1,충청남도 태안군 태안읍 남문리 701,충청남도 태안군 태안읍 남문리 701,36.74798331,126.3032034,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0147",1,충청남도 태안군 태안읍 남문리 701,충청남도 태안군 태안읍 남문리 701,36.74798331,126.3032034,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0148",1,충청남도 태안군 태안읍 남문리 701,충청남도 태안군 태안읍 남문리 701,36.74798331,126.3032034,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0149",1,충청남도 태안군 태안읍 남문리 701,충청남도 태안군 태안읍 남문리 701,36.74798331,126.3032034,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0150",1,충청남도 태안군 태안읍 남문리 701,충청남도 태안군 태안읍 남문리 701,36.74798331,126.3032034,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0151",1,충청남도 태안군 태안읍 남문리 701,충청남도 태안군 태안읍 남문리 701,36.74798331,126.3032034,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0152",1,충청남도 태안군 태안읍 남문리 701,충청남도 태안군 태안읍 남문리 701,36.74798331,126.3032034,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0153",1,충청남도 태안군 태안읍 남문리 700-9,충청남도 태안군 태안읍 남문리 700-9,36.7482895,126.3025584,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0154",1,충청남도 태안군 태안읍 남문리 700-7,충청남도 태안군 태안읍 남문리 700-7,36.74802428,126.3022843,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0155",1,충청남도 태안군 태안읍 남문리 700-5,충청남도 태안군 태안읍 남문리 700-5,36.74767009,126.3020906,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0156",1,충청남도 태안군 태안읍 남문리 700-5,충청남도 태안군 태안읍 남문리 700-5,36.74767009,126.3020906,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0157",1,충청남도 태안군 태안읍 남문리 700-5,충청남도 태안군 태안읍 남문리 700-5,36.74767009,126.3020906,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0158",1,충청남도 태안군 태안읍 남문리 700-3,충청남도 태안군 태안읍 남문리 700-3,36.7481295,126.3020805,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0159",1,충청남도 태안군 태안읍 남문리 700-2,충청남도 태안군 태안읍 남문리 700-2,36.74823067,126.3022238,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0160",1,충청남도 태안군 태안읍 남문리 696-6,충청남도 태안군 태안읍 남문리 696-6,36.7485976,126.3020478,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0161",1,충청남도 태안군 태안읍 남문리 698-4,충청남도 태안군 태안읍 남문리 698-4,36.74827881,126.3018084,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0162",1,충청남도 태안군 태안읍 남문리 699-3,충청남도 태안군 태안읍 남문리 699-3,36.74815532,126.3013633,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0163",1,충청남도 태안군 태안읍 남문리 699-4,충청남도 태안군 태안읍 남문리 699-4,36.74805025,126.3015783,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0164",1,충청남도 태안군 태안읍 남문리 699-5,충청남도 태안군 태안읍 남문리 699-5,36.7479227,126.3014804,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0165",1,충청남도 태안군 태안읍 남문리 699-7,충청남도 태안군 태안읍 남문리 699-7,36.74813235,126.3010167,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0166",1,충청남도 태안군 태안읍 남문리 697-4,충청남도 태안군 태안읍 남문리 697-4,36.7483954,126.300507,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
"태안0167",1,충청남도 태안군 태안읍 남문리705-5,충청남도 태안군 태안읍 남문리705-5,36.74757091,126.3014545,2015,전용주,041-670-2481,충청남도 태안군,2022-08-01
