"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
7771D451,1,,충청남도 홍성군 서부면 상황리 77-1,36.58089034,126.4837481,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
7869B301,1,,충청남도 홍성군 서부면 신리 633,36.54751501,126.5052213,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
7869P121,1,,충청남도 홍성군 서부면 신리 산100-2,36.53860442,126.4985692,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8069H083,1,,충청남도 홍성군 결성면 성곡리 148-1,36.54564563,126.560057,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8072E051,1,충청남도 홍성군 여술길 12-4,충청남도 홍성군 갈산면 상촌리 166,36.60326731,126.5535446,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8366E523,1,충청남도 홍성군 옹암1길 37-11,충청남도 홍성군 광천읍 옹암리 271,36.49432603,126.6243603,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8366G692,1,충청남도 홍성군 옹암2길 52,충청남도 홍성군 광천읍 옹암리 236-1,36.49251507,126.6248471,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8366Q353,1,충청남도 홍성군 토굴새우젓길 60,충청남도 홍성군 광천읍 옹암리 509,36.48694559,126.617356,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8367D901,1,충청남도 홍성군 광천읍 광천로359번길,충청남도 홍성군 광천읍 신진리 371-31,36.5071063,126.6213961,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8367G541,1,충청남도 홍성군 광천로 390-5,충청남도 홍성군 광천읍 신진리 390-4,36.50833872,126.6243325,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8367G931,1,충청남도 홍성군 광천로386번길 18,충청남도 홍성군 광천읍 신진리 392-21,36.50824936,126.6259639,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8367Q963,1,,충청남도 홍성군 광천읍 신진리 437-7,36.50439888,126.6213778,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8367W051,1,,충청남도 홍성군 광천읍 신진리 437-7,36.50439888,126.6213778,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8367W061,1,,충청남도 홍성군 광천읍 신진리 441-1,36.50501089,126.6216922,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8373R651,1,,충청남도 홍성군 구항면 오봉리 41-31,36.60761665,126.6132176,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8465G242,1,,충청남도 홍성군 광천읍 담산리 882-22,36.47272655,126.6452817,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8467Q331,1,,충청남도 홍성군 광천읍 소암리 311,36.50351546,126.639902,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8467Q341,1,충청남도 홍성군 홍남로744번길93-71,충청남도 홍성군 광천읍 소암리 310-1,36.50423635,126.6397249,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8470E193,1,충청남도 홍성군 충서로999번길 78,충청남도 홍성군 구항면 마온리 271-1,36.56991517,126.6440333,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8470G401,1,충청남도 홍성군 충서로945번길 29-19,충청남도 홍성군 구항면 청광리 산88-1,36.56130751,126.6454794,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8470W192,1,,충청남도 홍성군 구항면 청광리 산89-20,36.56005401,126.6446076,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8472H393,1,,충청남도 홍성군 홍성읍 월산리 883,36.6005278,126.6511046,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8567Q971,1,충청남도 홍성군 내죽1길 46,충청남도 홍성군 광천읍 내죽리 69-1,36.50566373,126.6657601,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8570H342,1,,충청남도 홍성군 홍성읍 신성리 149-2,36.56295419,126.6726063,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8571P541,1,,충청남도 홍성군 홍성읍 학계리 664,36.57619446,126.6583781,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8571P652,1,충청남도 홍성군 대학길 52-21,충청남도 홍성군 홍성읍 학계리 521-7,36.57676333,126.6583268,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8571P671,1,충청남도 홍성군 대학길 52-5,충청남도 홍성군 홍성읍 학계리 513,36.57728842,126.6585412,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8571P871,1,충청남도 홍성군 대학길 54,충청남도 홍성군 홍성읍 학계리 522,36.57719094,126.6586881,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8571P973,1,,충청남도 홍성군 홍성읍 학계리 산156,36.57726746,126.6599449,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8571P974,1,충청남도 홍성군 대학길 49,충청남도 홍성군 홍성읍 학계리 511-3,36.57771891,126.6591595,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8571P974,1,,충청남도 홍성군 홍성읍 학계리 산156,36.57726746,126.6599449,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8572A844,1,충청남도 홍성군 월계천길 151-6,충청남도 홍성군 홍성읍 오관리 774-1,36.6032207,126.6590763,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8573S612,1,충청남도 홍성군 교동길 11-45,충청남도 홍성군 홍성읍 대교리 219-8,36.60633144,126.6632475,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
8573Y401,1,충청남도 홍성군 간동1길 11-7,충청남도 홍성군 홍성읍 대교리 340-2,36.60574462,126.6679856,,한전주,041-630-1582,충청남도 홍성군청,2022-11-03
