"행정구역","2020년08월_계_총인구수","2020년08월_계_연령구간인구수","2020년08월_계_20~29세","2020년08월_계_30~39세","2020년08월_계_40~49세","2020년08월_계_50~59세","2020년08월_계_60~69세","2020년08월_계_70~79세","2020년08월_남_총인구수","2020년08월_남_연령구간인구수","2020년08월_남_20~29세","2020년08월_남_30~39세","2020년08월_남_40~49세","2020년08월_남_50~59세","2020년08월_남_60~69세","2020년08월_남_70~79세","2020년08월_여_총인구수","2020년08월_여_연령구간인구수","2020년08월_여_20~29세","2020년08월_여_30~39세","2020년08월_여_40~49세","2020년08월_여_50~59세","2020년08월_여_60~69세","2020년08월_여_70~79세","2020년09월_계_총인구수","2020년09월_계_연령구간인구수","2020년09월_계_20~29세","2020년09월_계_30~39세","2020년09월_계_40~49세","2020년09월_계_50~59세","2020년09월_계_60~69세","2020년09월_계_70~79세","2020년09월_남_총인구수","2020년09월_남_연령구간인구수","2020년09월_남_20~29세","2020년09월_남_30~39세","2020년09월_남_40~49세","2020년09월_남_50~59세","2020년09월_남_60~69세","2020년09월_남_70~79세","2020년09월_여_총인구수","2020년09월_여_연령구간인구수","2020년09월_여_20~29세","2020년09월_여_30~39세","2020년09월_여_40~49세","2020년09월_여_50~59세","2020년09월_여_60~69세","2020년09월_여_70~79세","2020년10월_계_총인구수","2020년10월_계_연령구간인구수","2020년10월_계_20~29세","2020년10월_계_30~39세","2020년10월_계_40~49세","2020년10월_계_50~59세","2020년10월_계_60~69세","2020년10월_계_70~79세","2020년10월_남_총인구수","2020년10월_남_연령구간인구수","2020년10월_남_20~29세","2020년10월_남_30~39세","2020년10월_남_40~49세","2020년10월_남_50~59세","2020년10월_남_60~69세","2020년10월_남_70~79세","2020년10월_여_총인구수","2020년10월_여_연령구간인구수","2020년10월_여_20~29세","2020년10월_여_30~39세","2020년10월_여_40~49세","2020년10월_여_50~59세","2020년10월_여_60~69세","2020년10월_여_70~79세","2020년11월_계_총인구수","2020년11월_계_연령구간인구수","2020년11월_계_20~29세","2020년11월_계_30~39세","2020년11월_계_40~49세","2020년11월_계_50~59세","2020년11월_계_60~69세","2020년11월_계_70~79세","2020년11월_남_총인구수","2020년11월_남_연령구간인구수","2020년11월_남_20~29세","2020년11월_남_30~39세","2020년11월_남_40~49세","2020년11월_남_50~59세","2020년11월_남_60~69세","2020년11월_남_70~79세","2020년11월_여_총인구수","2020년11월_여_연령구간인구수","2020년11월_여_20~29세","2020년11월_여_30~39세","2020년11월_여_40~49세","2020년11월_여_50~59세","2020년11월_여_60~69세","2020년11월_여_70~79세","2020년12월_계_총인구수","2020년12월_계_연령구간인구수","2020년12월_계_20~29세","2020년12월_계_30~39세","2020년12월_계_40~49세","2020년12월_계_50~59세","2020년12월_계_60~69세","2020년12월_계_70~79세","2020년12월_남_총인구수","2020년12월_남_연령구간인구수","2020년12월_남_20~29세","2020년12월_남_30~39세","2020년12월_남_40~49세","2020년12월_남_50~59세","2020년12월_남_60~69세","2020년12월_남_70~79세","2020년12월_여_총인구수","2020년12월_여_연령구간인구수","2020년12월_여_20~29세","2020년12월_여_30~39세","2020년12월_여_40~49세","2020년12월_여_50~59세","2020년12월_여_60~69세","2020년12월_여_70~79세","2021년01월_계_총인구수","2021년01월_계_연령구간인구수","2021년01월_계_20~29세","2021년01월_계_30~39세","2021년01월_계_40~49세","2021년01월_계_50~59세","2021년01월_계_60~69세","2021년01월_계_70~79세","2021년01월_남_총인구수","2021년01월_남_연령구간인구수","2021년01월_남_20~29세","2021년01월_남_30~39세","2021년01월_남_40~49세","2021년01월_남_50~59세","2021년01월_남_60~69세","2021년01월_남_70~79세","2021년01월_여_총인구수","2021년01월_여_연령구간인구수","2021년01월_여_20~29세","2021년01월_여_30~39세","2021년01월_여_40~49세","2021년01월_여_50~59세","2021년01월_여_60~69세","2021년01월_여_70~79세"
"충청남도  (4400000000)","2,120,519","1,626,354","242,317","271,792","328,767","340,074","272,578","170,826","1,081,807","847,579","133,757","146,143","175,173","179,499","135,921","77,086","1,038,712","778,775","108,560","125,649","153,594","160,575","136,657","93,740","2,120,559","1,627,068","242,345","270,837","328,482","340,277","274,204","170,923","1,082,029","848,100","133,812","145,639","175,100","179,635","136,735","77,179","1,038,530","778,968","108,533","125,198","153,382","160,642","137,469","93,744","2,120,347","1,627,876","242,446","269,895","328,045","340,592","275,826","171,072","1,081,967","848,598","133,832","145,159","174,829","179,829","137,625","77,324","1,038,380","779,278","108,614","124,736","153,216","160,763","138,201","93,748","2,120,607","1,629,188","242,686","269,140","327,972","340,648","277,356","171,386","1,082,311","849,451","133,976","144,828","174,751","179,977","138,420","77,499","1,038,296","779,737","108,710","124,312","153,221","160,671","138,936","93,887","2,121,029","1,630,583","243,200","268,598","327,791","340,183","279,372","171,439","1,082,634","850,373","134,208","144,598","174,709","179,676","139,575","77,607","1,038,395","780,210","108,992","124,000","153,082","160,507","139,797","93,832","2,119,837","1,630,503","242,407","267,444","327,795","339,367","281,740","171,750","1,082,095","850,531","133,789","144,053","174,740","179,320","140,779","77,850","1,037,742","779,972","108,618","123,391","153,055","160,047","140,961","93,900"
"충청남도 천안시 (4413000000)","658,212","508,955","96,145","106,559","112,020","102,763","61,558","29,910","335,724","262,131","50,454","56,604","57,779","52,807","31,053","13,434","322,488","246,824","45,691","49,955","54,241","49,956","30,505","16,476","658,670","509,658","96,272","106,398","111,977","102,997","62,069","29,945","336,024","262,552","50,561","56,513","57,816","52,890","31,315","13,457","322,646","247,106","45,711","49,885","54,161","50,107","30,754","16,488","658,911","510,262","96,365","106,056","111,999","103,176","62,658","30,008","336,138","262,827","50,622","56,296","57,790","52,974","31,636","13,509","322,773","247,435","45,743","49,760","54,209","50,202","31,022","16,499","658,977","510,625","96,383","105,760","112,012","103,238","63,131","30,101","336,256","263,086","50,637","56,177","57,800","53,027","31,879","13,566","322,721","247,539","45,746","49,583","54,212","50,211","31,252","16,535","658,808","510,742","96,587","105,456","111,902","103,038","63,642","30,117","336,221","263,243","50,760","56,037","57,791","52,930","32,145","13,580","322,587","247,499","45,827","49,419","54,111","50,108","31,497","16,537","658,488","510,912","96,358","105,033","111,889","102,956","64,432","30,244","336,108","263,421","50,661","55,832","57,836","52,896","32,531","13,665","322,380","247,491","45,697","49,201","54,053","50,060","31,901","16,579"
"충청남도 천안시 동남구 (4413100000)","258,942","202,319","35,474","33,827","43,252","44,033","30,280","15,453","131,244","103,653","18,833","17,757","22,259","22,532","15,225","7,047","127,698","98,666","16,641","16,070","20,993","21,501","15,055","8,406","258,685","202,246","35,437","33,627","43,137","44,033","30,538","15,474","131,081","103,593","18,804","17,637","22,235","22,511","15,356","7,050","127,604","98,653","16,633","15,990","20,902","21,522","15,182","8,424","258,556","202,284","35,411","33,526","43,016","44,067","30,792","15,472","130,986","103,560","18,770","17,565","22,146","22,524","15,491","7,064","127,570","98,724","16,641","15,961","20,870","21,543","15,301","8,408","258,269","202,201","35,352","33,369","42,959","43,992","31,020","15,509","130,852","103,531","18,737","17,508","22,095","22,482","15,621","7,088","127,417","98,670","16,615","15,861","20,864","21,510","15,399","8,421","258,009","202,027","35,375","33,239","42,852","43,830","31,198","15,533","130,719","103,459","18,740","17,451","22,071","22,381","15,720","7,096","127,290","98,568","16,635","15,788","20,781","21,449","15,478","8,437","257,683","201,912","35,285","33,025","42,756","43,670","31,588","15,588","130,546","103,420","18,697","17,367","22,015","22,322","15,871","7,148","127,137","98,492","16,588","15,658","20,741","21,348","15,717","8,440"
"충청남도 천안시 서북구 (4413300000)","399,270","306,636","60,671","72,732","68,768","58,730","31,278","14,457","204,480","158,478","31,621","38,847","35,520","30,275","15,828","6,387","194,790","148,158","29,050","33,885","33,248","28,455","15,450","8,070","399,985","307,412","60,835","72,771","68,840","58,964","31,531","14,471","204,943","158,959","31,757","38,876","35,581","30,379","15,959","6,407","195,042","148,453","29,078","33,895","33,259","28,585","15,572","8,064","400,355","307,978","60,954","72,530","68,983","59,109","31,866","14,536","205,152","159,267","31,852","38,731","35,644","30,450","16,145","6,445","195,203","148,711","29,102","33,799","33,339","28,659","15,721","8,091","400,708","308,424","61,031","72,391","69,053","59,246","32,111","14,592","205,404","159,555","31,900","38,669","35,705","30,545","16,258","6,478","195,304","148,869","29,131","33,722","33,348","28,701","15,853","8,114","400,799","308,715","61,212","72,217","69,050","59,208","32,444","14,584","205,502","159,784","32,020","38,586","35,720","30,549","16,425","6,484","195,297","148,931","29,192","33,631","33,330","28,659","16,019","8,100","400,805","309,000","61,073","72,008","69,133","59,286","32,844","14,656","205,562","160,001","31,964","38,465","35,821","30,574","16,660","6,517","195,243","148,999","29,109","33,543","33,312","28,712","16,184","8,139"
"충청남도 공주시 (4415000000)","105,353","82,824","11,402","9,707","13,518","18,729","17,981","11,487","52,741","42,560","6,352","5,169","7,133","9,692","8,970","5,244","52,612","40,264","5,050","4,538","6,385","9,037","9,011","6,243","105,192","82,734","11,379","9,624","13,477","18,679","18,090","11,485","52,656","42,498","6,328","5,128","7,105","9,666","9,019","5,252","52,536","40,236","5,051","4,496","6,372","9,013","9,071","6,233","104,972","82,606","11,344","9,576","13,426","18,610","18,181","11,469","52,542","42,439","6,303","5,107","7,095","9,605","9,074","5,255","52,430","40,167","5,041","4,469","6,331","9,005","9,107","6,214","104,736","82,487","11,346","9,507","13,342","18,552","18,261","11,479","52,394","42,351","6,291","5,073","7,041","9,560","9,122","5,264","52,342","40,136","5,055","4,434","6,301","8,992","9,139","6,215","104,545","82,428","11,276","9,489","13,316","18,445","18,424","11,478","52,297","42,298","6,231","5,063","7,039","9,500","9,201","5,264","52,248","40,130","5,045","4,426","6,277","8,945","9,223","6,214","104,442","82,342","11,199","9,446","13,313","18,337","18,553","11,494","52,273","42,299","6,204","5,061","7,025","9,446","9,291","5,272","52,169","40,043","4,995","4,385","6,288","8,891","9,262","6,222"
"충청남도 보령시 (4418000000)","100,538","78,594","9,593","9,588","14,119","17,272","16,761","11,261","50,941","40,979","5,627","5,183","7,747","9,197","8,214","5,011","49,597","37,615","3,966","4,405","6,372","8,075","8,547","6,250","100,415","78,528","9,574","9,547","14,071","17,252","16,821","11,263","50,881","40,939","5,620","5,154","7,733","9,183","8,247","5,002","49,534","37,589","3,954","4,393","6,338","8,069","8,574","6,261","100,336","78,518","9,559","9,505","14,020","17,263","16,902","11,269","50,850","40,955","5,621","5,136","7,711","9,178","8,302","5,007","49,486","37,563","3,938","4,369","6,309","8,085","8,600","6,262","100,249","78,481","9,520","9,498","13,981","17,237","16,991","11,254","50,814","40,941","5,601","5,137","7,685","9,179","8,340","4,999","49,435","37,540","3,919","4,361","6,296","8,058","8,651","6,255","100,229","78,512","9,528","9,461","13,945","17,212","17,087","11,279","50,807","40,965","5,598","5,121","7,650","9,169","8,408","5,019","49,422","37,547","3,930","4,340","6,295","8,043","8,679","6,260","99,964","78,339","9,484","9,359","13,897","17,075","17,240","11,284","50,657","40,865","5,568","5,065","7,616","9,110","8,458","5,048","49,307","37,474","3,916","4,294","6,281","7,965","8,782","6,236"
"충청남도 아산시 (4420000000)","313,871","235,015","35,976","48,738","55,679","45,733","30,961","17,928","162,873","124,279","19,959","26,077","30,237","24,675","15,409","7,922","150,998","110,736","16,017","22,661","25,442","21,058","15,552","10,006","314,282","235,466","36,037","48,619","55,859","45,851","31,164","17,936","163,138","124,574","20,026","26,000","30,352","24,740","15,523","7,933","151,144","110,892","16,011","22,619","25,507","21,111","15,641","10,003","314,552","235,869","36,143","48,460","55,915","46,001","31,372","17,978","163,284","124,813","20,091","25,915","30,389","24,837","15,604","7,977","151,268","111,056","16,052","22,545","25,526","21,164","15,768","10,001","315,279","236,660","36,364","48,423","56,088","46,152","31,598","18,035","163,661","125,237","20,213","25,899","30,460","24,930","15,728","8,007","151,618","111,423","16,151","22,524","25,628","21,222","15,870","10,028","316,129","237,575","36,591","48,420","56,301","46,289","31,885","18,089","164,115","125,739","20,331","25,895","30,589","24,979","15,903","8,042","152,014","111,836","16,260","22,525","25,712","21,310","15,982","10,047","316,740","238,264","36,609","48,290","56,660","46,333","32,251","18,121","164,424","126,086","20,330","25,835","30,764","25,044","16,062","8,051","152,316","112,178","16,279","22,455","25,896","21,289","16,189","10,070"
"충청남도 서산시 (4421000000)","175,272","132,924","19,151","22,340","27,880","28,244","21,468","13,841","91,076","70,734","11,296","12,327","14,893","15,081","10,684","6,453","84,196","62,190","7,855","10,013","12,987","13,163","10,784","7,388","175,330","133,065","19,181","22,276","27,840","28,320","21,579","13,869","91,168","70,855","11,323","12,324","14,875","15,131","10,738","6,464","84,162","62,210","7,858","9,952","12,965","13,189","10,841","7,405","175,426","133,180","19,184","22,212","27,807","28,402","21,710","13,865","91,228","70,929","11,337","12,279","14,863","15,170","10,824","6,456","84,198","62,251","7,847","9,933","12,944","13,232","10,886","7,409","175,487","133,354","19,236","22,141","27,862","28,357","21,869","13,889","91,321","71,078","11,372","12,256","14,909","15,150","10,924","6,467","84,166","62,276","7,864","9,885","12,953","13,207","10,945","7,422","175,591","133,499","19,277","22,123","27,814","28,370","22,029","13,886","91,399","71,210","11,408","12,265","14,892","15,147","11,017","6,481","84,192","62,289","7,869","9,858","12,922","13,223","11,012","7,405","175,543","133,567","19,245","22,036","27,794","28,381","22,183","13,928","91,399","71,285","11,410","12,222","14,889","15,154","11,108","6,502","84,144","62,282","7,835","9,814","12,905","13,227","11,075","7,426"
"충청남도 논산시 (4423000000)","117,340","90,736","11,512","10,966","15,668","19,909","19,649","13,032","58,656","46,636","6,448","5,795","8,341","10,434","9,864","5,754","58,684","44,100","5,064","5,171","7,327","9,475","9,785","7,278","117,226","90,635","11,515","10,902","15,582","19,839","19,767","13,030","58,593","46,572","6,416","5,769","8,281","10,421","9,932","5,753","58,633","44,063","5,099","5,133","7,301","9,418","9,835","7,277","117,030","90,499","11,445","10,874","15,495","19,803","19,852","13,030","58,493","46,529","6,396","5,757","8,217","10,412","9,982","5,765","58,537","43,970","5,049","5,117","7,278","9,391","9,870","7,265","116,888","90,412","11,424","10,825","15,426","19,752","19,933","13,052","58,426","46,490","6,394","5,728","8,182","10,405","10,001","5,780","58,462","43,922","5,030","5,097","7,244","9,347","9,932","7,272","116,675","90,311","11,387","10,764","15,403","19,703","20,007","13,047","58,316","46,464","6,377","5,705","8,161","10,383","10,052","5,786","58,359","43,847","5,010","5,059","7,242","9,320","9,955","7,261","116,587","90,241","11,348","10,744","15,333","19,619","20,127","13,070","58,277","46,450","6,356","5,696","8,120","10,324","10,144","5,810","58,310","43,791","4,992","5,048","7,213","9,295","9,983","7,260"
"충청남도 계룡시 (4425000000)","42,802","31,174","4,859","4,665","8,441","6,909","4,291","2,009","21,300","15,555","2,715","2,295","4,110","3,471","2,077","887","21,502","15,619","2,144","2,370","4,331","3,438","2,214","1,122","42,811","31,198","4,842","4,643","8,465","6,891","4,352","2,005","21,322","15,583","2,715","2,289","4,117","3,467","2,106","889","21,489","15,615","2,127","2,354","4,348","3,424","2,246","1,116","42,767","31,232","4,849","4,624","8,436","6,910","4,397","2,016","21,306","15,598","2,697","2,294","4,099","3,482","2,128","898","21,461","15,634","2,152","2,330","4,337","3,428","2,269","1,118","42,848","31,360","4,886","4,623","8,423","6,949","4,448","2,031","21,350","15,671","2,722","2,304","4,087","3,503","2,151","904","21,498","15,689","2,164","2,319","4,336","3,446","2,297","1,127","42,822","31,379","4,903","4,611","8,393","6,927","4,499","2,046","21,343","15,681","2,731","2,300","4,078","3,483","2,179","910","21,479","15,698","2,172","2,311","4,315","3,444","2,320","1,136","42,809","31,357","4,902","4,626","8,333","6,919","4,525","2,052","21,332","15,660","2,729","2,305","4,051","3,472","2,190","913","21,477","15,697","2,173","2,321","4,282","3,447","2,335","1,139"
